track_name,artists,energy,valence
Uzun Lafın Kısası,"Ozan Doğulu, Gülden, Bahadır Tatlıöz",0.852,0.701
HIGHEST IN THE ROOM,Travis Scott,0.427,0.0605
Muhterem Hayalet,Farazi V Kayra,0.723,0.494
Düşünme Hiç,Ajda Pekkan,0.593,0.686
Bak,Pilli Bebek,0.715,0.657
Mad About You,Hooverphonic,0.844,0.155
Cigarettes out the Window,TV Girl,0.659,0.594
Ankara Rüzgarı,lorche,0.625,0.897
Mevsimler Geçerken,Umut Kaya,0.674,0.413
Kazılı Kuyum,Yüzyüzeyken Konuşuruz,0.646,0.882
Do I Wanna Know?,Arctic Monkeys,0.532,0.405
Sandal,Yüzyüzeyken Konuşuruz,0.567,0.288
Sarmaşık,Mabel Matiz,0.734,0.491
Je veux,Zaz,0.807,0.741
Hele Bi Gel,Pinhani,0.576,0.624
Shape Of My Heart,Sting,0.372,0.244
Mein Herz brennt,Rammstein,0.76,0.138
Yugoslavskiy Groove - Slowed,noturgf,0.575,0.513
Wicked Game,Chris Isaak,0.296,0.359
Sen Nasıl Bir İnsansın,Kolera,0.676,0.722
I Will Survive,Gloria Gaynor,0.775,0.802
Aşka Çarem Yok,Nova Norda,0.44,0.673
Made in Romania,Ionut Cercel,0.872,0.968
Sirens Jersey,loczip,0.421,0.0772
Üzülmedin mi?,Simge,0.698,0.351
Un-thinkable (I'm Ready) (feat. Drake) - Remix,"Alicia Keys, Drake",0.603,0.228
İltimas,"Gülşen, Murat Boz",0.934,0.611
miles (feat. Lil Uzi Vert),"skaiwater, Lil Uzi Vert",0.301,0.0483
Yankı,Simge,0.776,0.416
Bertaraf Et,Hayko Cepkin,0.844,0.382
red sky,"21 Savage, Tommy Newport, Mikky Ekko",0.621,0.396
SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",0.631,0.433
Unuttun mu Beni,Sezen Aksu,0.784,0.723
Takip,Motive,0.633,0.715
Mey,Model,0.601,0.543
Yatıya,Melis Kar,0.801,0.385
redrum,21 Savage,0.733,0.244
Kaybolan Yıllar,Sezen Aksu,0.659,0.6
Glock In My Lap,"21 Savage, Metro Boomin",0.733,0.202
Koyver Kendini,Bedük,0.824,0.551
Maazallah (YGA),Lin Pesto,0.396,0.272
Rüya Gibi,"Dedublüman, Mavzer Tabancas",0.726,0.475
Sen ve Yıldız,Mavi,0.784,0.35
Bir Beyaz Orkide,Cihan Mürtezaoğlu,0.468,0.533
Bu Gece,Lotusx,0.519,0.454
Lütfen Gel,Lotusx,0.684,0.579
Nerdesin,Lotusx,0.597,0.134
This I Love,Guns N' Roses,0.442,0.133
,,0.787,0.0376
i'm back,Bruce,0.93,0.0638
Smoke,"Cowbell Cult, Joehdah",0.988,0.529
Valse,Evgeny Grinko,0.256,0.201
Little Dark Age,MGMT,0.712,0.62
Thé à la menthe (The Lazer Dance Version) [Instrumental],La Caution,0.965,0.741
Tonka,Shankz,0.75,0.419
Unutama Beni,Esmeray,0.278,0.308
Şiirlerim Hep Sendin,Ezgi Erdoğan,0.521,0.151
Dursun Zaman (feat. Göksel),"maNga, Göksel",0.901,0.457
Summertime Sadness,Lana Del Rey,0.654,0.235
In This Shirt,The Irrepressibles,0.394,0.0384
NKBİ,Güneş,0.647,0.115
Güzelliğin On Para Etmez,"Deeperise, Jabbar",0.647,0.351
Back To Black,Amy Winehouse,0.725,0.335
Dobro Vecer,Farazi,0.581,0.241
Sarı Kurdeleler,Model,0.627,0.388
Dip,Madrigal,0.809,0.549
Ölsem,Sena Şener,0.359,0.15
Sar Bu Şehri - Akustik,Canozan,0.287,0.117
Seni Dert Etmeler,Madrigal,0.608,0.835
2001 (feat. Ceza & Sahtiyan),Silahsız Kuvvet,0.819,0.679
Raf - Space Motion Remix,"Deeperise, Jabbar, Space Motion",0.957,0.103
Dostum Olmaz Hasmım Yaşamaz,Mustafa Barak,0.489,0.331
Beni Vur - Akustik,Deniz Tekin,0.238,0.391
Toprak Yağmura - Akustik,Canozan,0.22,0.178
Ben Böyleyim,Athena,0.493,0.356
Aldırma Gönül,Edip Akbayram,0.805,0.535
Gölge Ayağımızın Altıdır,Mustafa Barak,0.463,0.153
Hadi Çal,Derya Uluğ,0.711,0.602
Mor Yazma,Umut Kaya,0.73,0.814
Zombi,Adamlar,0.682,0.463
Lümüne,Cem Karaca,0.301,0.217
Seher Vakti,Neşet Ertaş,0.205,0.206
Bazen (feat. Emel),"Ezhel, Emel",0.6,0.962
Alt Geçit,"Farazi, Kayra",0.856,0.458
Deniz Üstü Köpürür,Cem Karaca,0.427,0.231
Bi' Tek Ben Anlarım,"KÖFN, Salman Tin, BKE",0.529,0.318
Tek Hayalim,"Sokrat St, Şanışer",0.61,0.325
Elfida,Haluk Levent,0.753,0.605
Deli,mor ve ötesi,0.916,0.449
Ah,Duman,0.563,0.355
Anlasana - Live,Haluk Levent,0.263,0.223
Porselen Kalbim,Sena Şener,0.421,0.184
Son Seslenişim,Yüzyüzeyken Konuşuruz,0.587,0.336
In the End,Linkin Park,0.864,0.4
Beni Kendinden Kurtar,Perdenin Ardındakiler,0.311,0.236
Kafkasya Marşı,Mustafa Kamacı,0.839,0.448
Aklım Kalır,Aybüke Albere,0.0545,0.162
Mihriban,Cem Adrian,0.324,0.209
1-800,"bbno$, Ironmouse",0.959,0.883
Derine,Murat Dalkılıç,0.851,0.757
Free Your Mind,"Prospa, Cloonee",0.947,0.407
Peri (feat. Ayben),"Nil Karaibrahimgil, Ayben",0.759,0.458
Fire Fire,"Shimza, AR/CO, Kasango",0.822,0.262
Aşkın Olayım,Simge,0.582,0.561
Fam,"UZI, Motive, Muti",0.717,0.262
Macarena - River Re-Mix 103 BPM,"Los Del Rio, Fangoria, Big Toxic",0.789,0.96
Aldatıldık,Rengin,0.76,0.962
Adımı Kalbine Yaz,Tarkan,0.913,0.759
vODKA BELUGA,"Lvbel C5, AKDO",0.505,0.7
Friesenjung,"Ski Aggu, Joost, Otto Waalkes",0.98,0.899
Five More Hours,"Deorro, Chris Brown",0.883,0.499
Doktor,"Kenan Doğulu, Iskender Paydas",0.881,0.765
BANA GÖNDER!,"Lvbel C5, RAF Camora",0.739,0.528
Love Me Not,Ravyn Lenae,0.731,0.814
Hoşçakal,Ati242,0.78,0.367
Maybach,Ati242,0.851,0.415
Ainsi bas la vida,Indila,0.641,0.436
ELON MUSK,Ati242,0.75,0.561
Italy Forma,Ati242,0.858,0.673
Flashing Lights,"Kanye West, Dwele",0.628,0.43
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",0.764,0.886
BİTMİYOR,Ben Fero,0.719,0.314
Paranoya,Hayko Cepkin,0.615,0.21
Yalnızca Sitem,Sezen Aksu,0.603,0.262
Shoote Shoote,Ati242,0.874,0.776
Criminal,Britney Spears,0.734,0.711
Way down We Go,KALEO,0.505,0.337
Bad Boys,INNA,0.754,0.62
Movin' To The Sun,"HUGEL, Imael Angel, Ultra Naté",0.883,0.283
Smooth Criminal - 2012 Remaster,Michael Jackson,0.981,0.595
