track_name,artists,track_genre,energy,valence
villain,mj apanay,chill,0.389,0.829
The Way I Am,Gavin Haley;Ella Vos,chill,0.5,0.14
I Feel Good (feat. Patrickananda),Pink Sweat$;Patrickananda,chill,0.781,0.623
wherever you would call me,Zaini,chill,0.396,0.0352
Window Blues,French The Kid,chill,0.543,0.142
Traingazing,Sam Wills;Honey Mooncie,chill,0.361,0.553
Galaxy,Kid Travis;Eluzai,chill,0.582,0.892
Honesty,Pink Sweat$,chill,0.139,0.312
Stay (Don't Go),Kid Travis,chill,0.239,0.31
So,Christian Kuria,chill,0.407,0.346
Resonance,Home,chill,0.74,0.419
Shouldn't Be,Luke Chiang,chill,0.294,0.323
Dancing with my phone,HYBS,chill,0.586,0.878
Moonlight Shawty,Fatboibari;Shiloh,chill,0.184,0.128
TOUCH,keshi,chill,0.613,0.314
Pears,Weston Estate,chill,0.599,0.192
love,lofi.samurai,chill,0.482,0.964
Oblivion,Rufi-O;Lily Potter,chill,0.131,0.685
Blossom,b/t;Matthew Ifield,chill,0.238,0.741
i won't let you feel alone again,demxntia,chill,0.426,0.436
Blur,dhruv,chill,0.789,0.646
I Don't Want,Lexi Jonga,chill,0.166,0.732
At My Worst (Gustixa Remix),Pink Sweat$;Gustixa,chill,0.6,0.351
Letter to Jarad,LRN Slime;Shiloh Dynasty,chill,0.0903,0.785
I'm Not Enough and I'm Sorry,Teqkoi;Snøw,chill,0.183,0.244
I'll Bite Your Soul,SHRK;Shiloh Dynasty,chill,0.37,0.18
less of you,keshi,chill,0.678,0.568
I Wouldn't Know Any Better Than You,Gentle Bones,chill,0.485,0.281
spirit lead me where my trust is without borders,Raspo,chill,0.124,0.164
Cherry Blossoms,Shady Moon,chill,0.346,0.462
Do You Ever Think of Me?,yaeow;Rxseboy,chill,0.253,0.662
Crash,Mokita;Charlotte Sands,chill,0.678,0.517
Scars,Kochetkovv,chill,0.517,0.238
blue,keshi,chill,0.563,0.217
Hurt U,Devin Kennedy,chill,0.558,0.574
Imagination,CORBAL;Shiloh Dynasty;Patient Zero,chill,0.0987,0.872
Habits (Stay High) (Slowed + Reverb),fenekot,chill,0.284,0.0979
Winter blossom,Dept;Ashley Alisha;nobody likes you pat,chill,0.481,0.446
everything i couldn't be,Julia Alexa;Belfa,chill,0.266,0.194
let me hold you,lofi.samurai;Insowmya,chill,0.331,0.23
far away from here,yaeow,chill,0.236,0.236
It'll Be Alright,Teqkoi,chill,0.186,0.313
It Won't Hurt,Kochetkovv,chill,0.289,0.722
Sugar Crash Lofi,poofi.,chill,0.434,0.417
Ghost - Acoustic,Ben Woodward,chill,0.166,0.267
Solo,Dan Berk,chill,0.314,0.607
Summer Is for Falling in Love,Sarah Kang;EyeLoveBrandon,chill,0.417,0.279
fools (can't help falling in love) (slowed down & reverb),Foster;Sody;Sarcastic Sounds,chill,0.805,0.283
Favourite Things,Rangga Jones,chill,0.468,0.241
Collide,Justine Skye;Tyga,chill,0.32,0.152
Older,Conor Matthews,chill,0.654,0.317
Hate Everything,GSoul,chill,0.229,0.289
Can You Feel My Heart,Varien;Andrew Zink,chill,0.747,0.321
Heal,Tom Odell,chill,0.179,0.119
Know me,GEMINI,chill,0.631,0.675
Love Is More Depressing Than Depression,prxz;Shiloh Dynasty,chill,0.215,0.335
My Favourite Clothes,RINI,chill,0.339,0.291
Ride,HYBS,chill,0.393,0.715
Nightlight,Finding Hope,chill,0.0866,0.161
Another Day,Fiji Blue,chill,0.751,0.692
Blue Spirits,DWLLRS,chill,0.646,0.336
Rain,Faime,chill,0.423,0.244
A Moment Apart,ODESZA,chill,0.663,0.0756
disappear,demxntia,chill,0.36,0.0341
Okinawa,92914,chill,0.167,0.376
School Rooftop - Slowed Down Version,Hisohkah;WMD,chill,0.255,0.231
Controlla,Idealism,chill,0.446,0.545
One Friend,Elliott Trent,chill,0.491,0.324
Weak,Larissa Lambert,chill,0.451,0.487
I Need U (Remix),yaeow;Kina,chill,0.363,0.103
chandelier,creamy;untrusted;11:11 Music Group,chill,0.736,0.348
Hold Me Closer,Addict.;yaeow,chill,0.198,0.345
Far Away,Peter Fenn,chill,0.493,0.454
Loose Change,Devin Kennedy,chill,0.42,0.781
Hold Each Other,Rnla;Carl Storm,chill,0.303,0.152
i don't feel part of the world anymore,itssvd;Shiloh Dynasty,chill,0.179,0.272
Only When I Look into Your Eyes,Fiji Blue,chill,0.694,0.819
unholy,creamy;untrusted;11:11 Music Group,chill,0.341,0.517
Keep You Safe,SHRK;Shiloh Dynasty,chill,0.343,0.342
Love You Like Me,William Singe,chill,0.514,0.332
"i'm in love with u, sorry",j'san,chill,0.288,0.276
i still think of you,the bootleg boy;Maberry,chill,0.193,0.308
Love Alone,Mokita,chill,0.454,0.493
confidence in me,Rangga Jones,chill,0.501,0.342
World Burns,Lokel,chill,0.373,0.301
say goodbye,Sarcastic Sounds,chill,0.415,0.418
London Scammer,Tankz,chill,0.282,0.353
i looked into your eyes,Sky McCreery,chill,0.0989,0.3
Never Be Alright,Seon,chill,0.284,0.286
Inside Out,Mokita,chill,0.172,0.435
carpool,Zachary Knowles,chill,0.612,0.522
We Don't Talk Anymore [Slowed + Reverb],Yusei;dhan,chill,0.0621,0.303
Don’t Go to Sleep,me7k,chill,0.273,0.348
"i don't like it, you're not the same",meynus,chill,0.168,0.074
summer nights,The Millennial Club,chill,0.661,0.654
Tell Me Why I'm Waiting - Slowed,boy in skirt;Niisan,chill,0.0892,0.223
Better With You (with Benjamin Kheng),Gentle Bones;Benjamin Kheng,chill,0.456,0.45
Black Cherry,Purrple Cat,chill,0.11,0.218
Falling in Love,Holem,chill,0.557,0.329
Smiling All The Way Back Home,Tom Odell,chill,0.271,0.309
Alone With You,Arz,chill,0.374,0.398
So Good,Weston Estate,chill,0.584,0.785
Midnight River (feat. 6LACK),Pink Sweat$;6LACK,chill,0.351,0.234
Talk It Out,dwsdmusic,chill,0.491,0.68
WESTSIDE,keshi,chill,0.47,0.271
Toroka,Christian Kuria,chill,0.438,0.343
Sing to You,Monty Datta;Shiloh Dynasty,chill,0.221,0.0767
All Night Long,thuy;Lil Kev,chill,0.542,0.0483
dream girl,8percent,chill,0.385,0.55
slow down my thoughts,Zachary Knowles,chill,0.421,0.482
Skin & Bones,Lund,chill,0.285,0.156
I never wanna lose you,Teqkoi;Snøw,chill,0.398,0.148
5:32pm,The Deli,chill,0.186,0.548
