track_name,artists,track_genre,energy,valence
Hold On,KT Tunstall,acoustic,0.937,0.805
Suddenly I See,KT Tunstall,acoustic,0.78,0.693
Rain,Motohiro Hata,acoustic,0.655,0.542
Somebody Else - Acoustic,Callum J Wright,acoustic,0.38,0.617
Pieces (Hushed),Andrew Belle,acoustic,0.279,0.0951
Mirrors,Boyce Avenue;Fifth Harmony,acoustic,0.658,0.683
Stand by Me,Boyce Avenue,acoustic,0.266,0.307
Losing Me,Gabrielle Aplin;JP Cooper,acoustic,0.407,0.257
なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,0.161,0.325
You’re Beautiful - Acoustic,John Adams,acoustic,0.154,0.36
Hikare Inochi,Kitri,acoustic,0.769,0.385
How To Lose a Girl,Tyler Ward,acoustic,0.454,0.34
Can’t Help Falling in Love,Boyce Avenue,acoustic,0.197,0.148
Dive Deep (Hushed),Andrew Belle,acoustic,0.378,0.085
When the Party's over (Acoustic Piano),Ben Woodward,acoustic,0.226,0.188
Boston,Augustana,acoustic,0.571,0.29
Living in the Shadows,Matthew Perryman Jones,acoustic,0.79,0.197
In Case You Didn’t Know,Boyce Avenue,acoustic,0.299,0.341
death bed (coffee for your head),Andrew Foy;Renee Foy,acoustic,0.0392,0.601
You Are My Sunshine,Kina Grannis,acoustic,0.0755,0.575
I Won't Give Up,Jason Mraz,acoustic,0.303,0.142
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,0.271,0.21
Only Love Can Hurt Like This,Meg Birch,acoustic,0.213,0.0998
Mr Blue,Catherine Feeny,acoustic,0.386,0.612
Do Not Let Me Go,Joshua Hyslop,acoustic,0.234,0.145
Holding On And Letting Go,Ross Copperman,acoustic,0.53,0.102
You Already Know,JJ Heller,acoustic,0.117,0.318
Believer (Remix),Ben Woodward,acoustic,0.724,0.333
Collide - Acoustic Version,Howie Day,acoustic,0.253,0.294
Love Like This,Ben Rector,acoustic,0.14,0.392
Come On Get Higher,Matt Nathanson,acoustic,0.623,0.617
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,0.272,0.113
Kiss Me Slowly,Parachute,acoustic,0.801,0.431
Without You,Parachute,acoustic,0.864,0.534
Absolutely Zero,Jason Mraz,acoustic,0.495,0.116
Sleep All Day,Jason Mraz,acoustic,0.81,0.79
You and I Both,Jason Mraz,acoustic,0.812,0.74
Long Nights,Eddie Vedder,acoustic,0.305,0.0974
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0.541,0.321
Suddenly I See,KT Tunstall,acoustic,0.767,0.664
Who Needs Shelter,Jason Mraz,acoustic,0.569,0.264
No Stopping Us,Jason Mraz,acoustic,0.836,0.727
I'll Do Anything,Jason Mraz,acoustic,0.711,0.648
Make You Feel My Love,JJ Heller,acoustic,0.199,0.262
The Remedy (I Won't Worry),Jason Mraz,acoustic,0.867,0.795
Too Much Food,Jason Mraz,acoustic,0.926,0.548
The Boy's Gone,Jason Mraz,acoustic,0.556,0.36
"On Love, in Sadness",Jason Mraz,acoustic,0.832,0.802
Curbside Prophet,Jason Mraz,acoustic,0.793,0.892
"Tonight, Not Again - Live",Jason Mraz,acoustic,0.278,0.594
"Tonight, Not Again",Jason Mraz,acoustic,0.805,0.359
Hard Sun,Eddie Vedder,acoustic,0.827,0.645
Here with Me,Susie Suh;Robot Koch,acoustic,0.375,0.106
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,0.295,0.14
Collide,Howie Day,acoustic,0.625,0.342
get better,Eden Elf;Ren Avel,acoustic,0.201,0.4
Sympathy,Kitri,acoustic,0.423,0.59
Let It Go,Boyce Avenue;Rachel Grae,acoustic,0.349,0.444
What You Need,Chord Overstreet,acoustic,0.264,0.192
100 Years,Five For Fighting,acoustic,0.569,0.275
You're the Sea,Andrew Belle,acoustic,0.624,0.529
No Direction,Rachael Yamagata,acoustic,0.821,0.613
Belong,Cary Brothers,acoustic,0.399,0.217
As It Was,The Mayries,acoustic,0.21,0.323
I'm Yours,Jason Mraz,acoustic,0.43,0.731
Chi Mai,Joseph Sullinger,acoustic,0.287,0.557
Say Something,A Great Big World;Christina Aguilera,acoustic,0.146,0.0915
Had It All,Parachute,acoustic,0.54,0.249
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,0.646,0.563
Whole Again - Acoustic Version,Tobey Rosen,acoustic,0.145,0.235
Overpass Graffiti,The Mayries,acoustic,0.126,0.279
Love Song,Sara Bareilles,acoustic,0.786,0.573
Let Her Go,Andrew Foy;Renee Foy,acoustic,0.291,0.376
Brighter Than Sunshine,Aqualung,acoustic,0.489,0.398
Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,0.12,0.338
Mujer con Abanico,Agustín Amigó;Nylonwings,acoustic,0.135,0.471
In the Shadows,Amy Stroup,acoustic,0.469,0.0568
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,0.198,0.217
The Story,Brandi Carlile,acoustic,0.5,0.177
Better,JJ Heller,acoustic,0.187,0.233
Iris,Kina Grannis,acoustic,0.13,0.179
Rockabye - Acoustic Version,The Mayries,acoustic,0.291,0.355
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,acoustic,0.522,0.446
Beautiful Soul,Boyce Avenue,acoustic,0.506,0.705
Let's See What The Night Can Do,Jason Mraz,acoustic,0.423,0.288
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,0.2,0.164
Forever And Always,Parachute,acoustic,0.716,0.435
Fine On The Outside,Priscilla Ahn,acoustic,0.185,0.196
Tortured Soul,Chord Overstreet,acoustic,0.499,0.144
I Believe in You,JJ Heller,acoustic,0.359,0.267
At Home,Jon Bryant,acoustic,0.52,0.357
"Portland, Maine",Donovan Woods,acoustic,0.349,0.156
Holding On and Letting Go,Ross Copperman,acoustic,0.555,0.0992
The Flood,Joshua Hyslop,acoustic,0.446,0.262
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,0.407,0.276
Out of My League,Stephen Speaks,acoustic,0.315,0.4
Say Something,A Great Big World,acoustic,0.158,0.142
Rise,Eddie Vedder,acoustic,0.58,0.526
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,acoustic,0.311,0.4
Stumble,Freddie King,acoustic,0.612,0.857
Paradise,Taj Mahal,acoustic,0.406,0.862
"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,acoustic,0.399,0.342
ひまわりの約束,Motohiro Hata,acoustic,0.445,0.336
